pincode,locality_most_common_city,center,meditator_count
BLANK,Bangalore,Banaswadi,70
BLANK,Bengaluru,Bangalore Rural,2
BLANK,Bangalore,Bannerghatta Road,102
BLANK,Bangalore,Budigere Cross,6
BLANK,Bangalore,Electronic City,36
BLANK,Bangalore,Girinagar,23
BLANK,Bangalore,Hebbal,71
BLANK,Bangalore,Indiranagar,172
BLANK,Bangalore,Jayanagar,87
BLANK,Bangalore,Koramangala,113
BLANK,Bangalore,Malleswaram,90
BLANK,Bangalore,Marathahalli,61
BLANK,Bangalore,Vijayanagar,90
BLANK,Bangalore,Whitefield,25
000000,Bengaluru,Banaswadi,1
000000,BLANK,Electronic City,2
000000,Bengaluru,Indiranagar,1
000000,BLANK,Malleswaram,1
000000,Bengakuru,Marathahalli,2
000000,BLANK,Vijayanagar,1
000000,BLANK,Whitefield,1
0560103,Bangalore,Koramangala,1
1,Bangalore,Indiranagar,1
10200,Bengaluru,Koramangala,1
110026,New Delhi,Bannerghatta Road,1
110075,New Delhi,Bangalore Rural,2
110075,New Delhi,Whitefield,1
121003,"SARAI KHAWAJA, FARIDABAD",Bangalore Rural,1
121445,Pune,Malleswaram,1
123456,Bengaluru,Marathahalli,1
131001,Sonipat,Bangalore Rural,1
160065,Mohali,Koramangala,1
1692,Centurion,Indiranagar,1
17,Trichy,Indiranagar,1
17553,Bengaluru,Budigere Cross,1
182207,Doda,Budigere Cross,1
201306,Gautam Buddha Nagar District,Malleswaram,1
201306,Gautam Buddha Nagar District,Whitefield,1
2064,Sydney,Koramangala,1
208010,Kanpur,Bannerghatta Road,1
2204,Marrickville,Vijayanagar,1
221010,Varanasi,Bangalore Rural,1
226010,Bangalore,Indiranagar,1
226025,Lucknow,Indiranagar,1
29459,Clenze,Indiranagar,1
301122,BLANK,Koramangala,1
3168,Dubai,Bannerghatta Road,1
342008,Jodhpur,Indiranagar,1
360002,Rajkot,Marathahalli,1
380058,Ahmedabad,Banaswadi,1
380058,"Bopal, Ahmedabad",Bannerghatta Road,1
382330,Ahmedabad,Malleswaram,1
396195,VAPI,Koramangala,1
400071,Mumbai,Bangalore Rural,1
400076,Mumbai,Marathahalli,1
410057,Pune,Bannerghatta Road,1
412729,Satara,Hebbal,1
41350,Klang,Vijayanagar,1
416015,Bengaluru,Banaswadi,1
421202,Dombivali,Electronic City,1
44709,Lalitpur ,Bannerghatta Road,1
460068,Bengaluru,Malleswaram,1
462001,Bhopal,Bannerghatta Road,1
462041,Bhopal,Marathahalli,1
47620,Subang Jaya,Vijayanagar,1
47630,Subang Jaya,Vijayanagar,1
500016,Hyderabad,Bannerghatta Road,1
500040,Hyderabad,Hebbal,1
500040,Secunderabad,Indiranagar,1
500071,Secunderabad,Hebbal,1
500073,hyderabad,Bannerghatta Road,1
500118,Hyderabad,Whitefield,1
501001,BLANK,Budigere Cross,1
501016,Bangalore,Banaswadi,1
501603,Bangalore,Koramangala,1
503002,Nizamabad ,Hebbal,1
50470,Kl,Vijayanagar,1
506600,Banaglore,Whitefield,1
506764,Bengaluru,Hebbal,1
507526,Bangalore,Indiranagar,1
510050,BANGALORE,Girinagar,1
513803,Guntakal,Koramangala,1
515001,BLANK,Jayanagar,1
515001,Ananthapur,Marathahalli,1
515241,Vadigepalle,Jayanagar,1
515751,Anantapur District,Hebbal,1
515774,Anantapur District,Marathahalli,1
517002,Chittoor,Indiranagar,1
518067,Foshan,Hebbal,1
520016,Bangalore,Banaswadi,1
521101,Krishna,Hebbal,1
521213,Surepalli,Indiranagar,1
522213,Vadlamudi,Malleswaram,1
524161,Bangalore,Indiranagar,1
530006,Bangalore,Marathahalli,1
