pincode,center,potential_meditator_count,source_field_status
BLANK,Hebbal,2,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
BLANK,Indiranagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
BLANK,Malleswaram,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
BLANK,Girinagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
BLANK,Budigere Cross,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
000000,Banaswadi,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
000000,Koramangala,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
000000,Whitefield,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
000000,Girinagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
08540,Koramangala,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
104603,Vijayanagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
110075,Bangalore Rural,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
120009,Malleswaram,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
122345,Bangalore Rural,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
126267,Malleswaram,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
162125,Koramangala,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
22033,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
23898,Marathahalli,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
248004,Koramangala,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
2920,Electronic City,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
325006,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
342821,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
450063,Koramangala,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
452017,Marathahalli,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
460040,Vijayanagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
460100,Electronic City,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
500019,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
502013,Electronic City,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
502034,Koramangala,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
506100,Electronic City,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
510085,Girinagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
516561,Banaswadi,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
517107,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
517335,Bangalore Rural,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
520016,Banaswadi,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
520067,Marathahalli,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
530060,Koramangala,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
530068,Bannerghatta Road,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
530068,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
540078,Marathahalli,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
543211,Marathahalli,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
550016,Banaswadi,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
550066,Whitefield,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
550075,Indiranagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
550076,Electronic City,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
550091,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
555555,Vijayanagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
56-0024,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560 001,Indiranagar,2,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560 008,Indiranagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560 010,Malleswaram,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560 016,Banaswadi,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560 023,Vijayanagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560 024,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560 032,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560 033,Banaswadi,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560 045,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560 052,Malleswaram,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560 059,Vijayanagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560 077,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560 078,Bannerghatta Road,2,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560 079,Vijayanagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560 098,Vijayanagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
5600 76,Bannerghatta Road,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560000,Whitefield,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
