tier,pincode,area,centre,mom_users_matched,mom_users_estimated,active_meditators,app_per_active_meditator,pin_charge_candidates_3plus,any_referrers,volunteer_target,pin_charge_name,pin_charge_phone,status,notes
1,560076,Bilekahalli / Bannerghatta Rd,Bannerghatta Road,2711,12305,1456,8.5,35,144,369,,,not started,
1,560068,Bommanahalli / Singasandra,Electronic City,2319,10526,1272,8.3,32,132,316,,,not started,
1,560078,JP Nagar,Bannerghatta Road,2311,10490,1221,8.6,43,124,315,,,not started,
1,560037,Marathahalli,Marathahalli,2174,9868,1368,7.2,36,106,296,,,not started,
1,560064,Yelahanka,Hebbal,2114,9595,1322,7.3,38,115,288,,,not started,
1,560100,Electronic City,Electronic City,2063,9364,1308,7.2,46,138,281,,,not started,
1,560043,Kalyan Nagar / HBR Layout,Banaswadi,1952,8860,1115,7.9,36,112,266,,,not started,
1,560066,Whitefield,Whitefield,1719,7803,1150,6.8,23,83,234,,,not started,
1,560061,Uttarahalli / Subramanyapura,Kanakapura Road,1450,6582,790,8.3,33,87,197,,,not started,
1,560102,HSR Layout,Koramangala,1342,6091,950,6.4,22,75,183,,,not started,
1,560085,Banashankari III / Girinagar,Girinagar,1334,6055,674,9.0,24,71,182,,,not started,
1,560097,Vidyaranyapura,Hebbal,1320,5991,699,8.6,28,79,180,,,not started,
1,560016,Ramamurthy Nagar / Dooravani Nagar,Banaswadi,1270,5765,689,8.4,19,63,173,,,not started,
1,560067,Kadugodi,Marathahalli,1157,5252,734,7.2,18,57,158,,,not started,
1,560035,Sarjapur Road / Carmelaram,Koramangala,1142,5184,808,6.4,26,68,156,,,not started,
1,560098,Rajarajeshwari Nagar,Vijayanagar,1079,4898,569,8.6,15,64,147,,,not started,
1,560062,Konanakunte / Puttenahalli,Kanakapura Road,1053,4780,666,7.2,28,69,143,,,not started,
1,560103,Bellandur,Koramangala,1039,4716,719,6.6,16,56,141,,,not started,
1,560049,Virgonagar / Old Madras Rd,Budigere Cross,1026,4657,695,6.7,24,66,140,,,not started,
1,560040,Vijayanagar,Vijayanagar,1019,4625,518,8.9,9,47,139,,,not started,
2,560048,Mahadevapura / Hoodi,Marathahalli,1018,4621,702,6.6,24,58,139,,,not started,
2,560036,KR Puram,Budigere Cross,978,4439,542,8.2,15,52,133,,,not started,
2,560072,Nagarbhavi,Vijayanagar,975,4426,440,10.1,14,49,133,,,not started,
2,560079,Basaveshwaranagar,Vijayanagar,939,4262,420,10.1,14,40,128,,,not started,
2,560091,Sunkadakatte / Herohalli,Vijayanagar,926,4203,416,10.1,13,30,126,,,not started,
2,560077,Kothanur / Thanisandra,Hebbal,910,4130,580,7.1,18,52,124,,,not started,
2,560010,Rajajinagar,Malleswaram,886,4022,379,10.6,10,39,121,,,not started,
2,560087,Varthur / Gunjur,Marathahalli,822,3731,571,6.5,16,41,112,,,not started,
