tier,pincode,area,centre,est_mom_users,active_meditators_6mo,meditators,potential_meditators,est_population,population_source,layers,area_pocs,captains,signup_target_vols,active_vols_60pct
1,560076,Bilekahalli / Bannerghatta Rd,Bannerghatta Road,12305,1135,3598,23891,403824,geoiq_modelled_nd,4,7,69,685,411
1,560037,Marathahalli,Marathahalli,9868,1123,3334,23687,278628,geoiq_modelled_nd,4,7,67,662,397
1,560068,Bommanahalli / Singasandra,Electronic City,10526,1011,2589,23634,284248,geoiq_modelled_nd,4,6,60,594,356
1,560078,JP Nagar,Bannerghatta Road,10490,912,2939,22008,292367,geoiq_modelled_nd,4,6,59,588,353
1,560100,Electronic City,Electronic City,9364,1006,2375,20605,322424,geoiq_modelled_nd,4,6,55,542,325
1,560064,Yelahanka,Hebbal,9595,1024,2324,20670,401793,geoiq_modelled_nd,4,6,55,541,325
1,560043,Kalyan Nagar / HBR Layout,Banaswadi,8860,877,2714,17302,285910,geoiq_modelled_nd,4,6,52,511,307
1,560066,Whitefield,Whitefield,7803,929,2399,15936,210679,geoiq_modelled_nd,4,5,48,478,287
1,560102,HSR Layout,Koramangala,6091,728,2104,11351,133816,geoiq_modelled_nd,4,4,38,377,226
1,560016,Ramamurthy Nagar / Dooravani Nagar,Banaswadi,5765,520,1618,13465,256033,geoiq_modelled_nd,4,4,35,342,205
1,560085,Banashankari III / Girinagar,Girinagar,6055,513,1496,13489,165976,geoiq_modelled_nd,4,4,34,333,200
1,560097,Vidyaranyapura,Hebbal,5991,555,1486,12308,113229,geoiq_modelled_nd,4,4,33,323,194
1,560103,Bellandur,Koramangala,4716,560,1607,9933,195209,geoiq_modelled_nd,4,4,31,304,182
1,560035,Sarjapur Road / Carmelaram,Koramangala,5184,656,1544,9025,116021,geoiq_modelled_nd,4,3,30,300,180
1,560067,Kadugodi,Marathahalli,5252,605,1300,10626,155520,geoiq_modelled_nd,4,3,30,295,177
1,560040,Vijayanagar,Vijayanagar,4625,401,1373,11208,140348,geoiq_modelled_nd,4,3,29,283,170
1,560048,Mahadevapura / Hoodi,Marathahalli,4621,536,1461,9090,150942,geoiq_modelled_nd,4,3,28,280,168
1,560098,Rajarajeshwari Nagar,Vijayanagar,4898,421,1163,9681,135898,geoiq_modelled_nd,4,3,26,252,151
1,560036,KR Puram,Budigere Cross,4439,443,928,10641,100248,geoiq_modelled_nd,4,3,25,249,149
1,560079,Basaveshwaranagar,Vijayanagar,4262,318,1029,11162,197962,geoiq_modelled_nd,4,3,25,247,148
2,560049,Virgonagar / Old Madras Rd,Budigere Cross,4657,568,1015,8483,181725,geoiq_modelled_nd,4,3,25,244,146
